inject newline, token type, column, length, enclosing rule, earliest ancestor rule, earliest ancestor length, prev token type, prev token column, prev token last char index
0, 100, 29, 5, 50, -1, 0, 65, 28, 28
0, 65, 34, 1, 50, -1, 0, 100, 29, 33
0, 100, 35, 17, 50, -1, 0, 65, 34, 34
0, 63, 52, 1, 2, -1, 0, 100, 35, 51
1, 25, 0, 6, 2, 2, 53, 63, 52, 52
0, 100, 7, 3, 50, 50, 45, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 5, 50, -1, 0, 65, 28, 28
0, 65, 34, 1, 50, -1, 0, 100, 29, 33
0, 100, 35, 17, 50, -1, 0, 65, 34, 34
0, 63, 52, 1, 2, -1, 0, 100, 35, 51
1, 25, 0, 6, 2, 2, 53, 63, 52, 52
0, 100, 7, 3, 50, 50, 45, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 5, 50, -1, 0, 65, 28, 28
0, 65, 34, 1, 50, -1, 0, 100, 29, 33
0, 100, 35, 17, 50, -1, 0, 65, 34, 34
0, 63, 52, 1, 2, -1, 0, 100, 35, 51
1, 25, 0, 6, 2, 2, 47, 63, 52, 52
0, 100, 7, 3, 50, 50, 39, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 5, 50, -1, 0, 65, 28, 28
0, 65, 34, 1, 50, -1, 0, 100, 29, 33
0, 100, 35, 11, 50, -1, 0, 65, 34, 34
0, 63, 46, 1, 2, -1, 0, 100, 35, 45
1, 25, 0, 6, 2, 2, 39, 63, 46, 46
0, 100, 7, 3, 50, 50, 31, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 3, 50, -1, 0, 65, 28, 28
0, 65, 32, 1, 50, -1, 0, 100, 29, 31
0, 100, 33, 5, 50, -1, 0, 65, 32, 32
0, 63, 38, 1, 2, -1, 0, 100, 33, 37
1, 25, 0, 6, 2, 2, 44, 63, 38, 38
0, 100, 7, 3, 50, 50, 36, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 4, 50, -1, 0, 65, 28, 28
0, 65, 33, 1, 50, -1, 0, 100, 29, 32
0, 100, 34, 9, 50, -1, 0, 65, 33, 33
0, 63, 43, 1, 2, -1, 0, 100, 34, 42
1, 25, 0, 6, 2, 2, 46, 63, 43, 43
0, 100, 7, 3, 50, 50, 38, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 4, 50, -1, 0, 65, 28, 28
0, 65, 33, 1, 50, -1, 0, 100, 29, 32
0, 100, 34, 11, 50, -1, 0, 65, 33, 33
0, 63, 45, 1, 2, -1, 0, 100, 34, 44
1, 25, 0, 6, 2, 2, 47, 63, 45, 45
0, 100, 7, 3, 50, 50, 39, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 4, 50, -1, 0, 65, 28, 28
0, 65, 33, 1, 50, -1, 0, 100, 29, 32
0, 100, 34, 12, 50, -1, 0, 65, 33, 33
0, 63, 46, 1, 2, -1, 0, 100, 34, 45
1, 25, 0, 6, 2, 2, 43, 63, 46, 46
0, 100, 7, 3, 50, 50, 35, 25, 0, 5
0, 65, 10, 1, 50, -1, 0, 100, 7, 9
0, 100, 11, 14, 50, -1, 0, 65, 10, 10
0, 65, 25, 1, 50, -1, 0, 100, 11, 24
0, 100, 26, 2, 50, -1, 0, 65, 25, 25
0, 65, 28, 1, 50, -1, 0, 100, 26, 27
0, 100, 29, 4, 50, -1, 0, 65, 28, 28
0, 65, 33, 1, 50, -1, 0, 100, 29, 32
0, 100, 34, 8, 50, -1, 0, 65, 33, 33
0, 63, 42, 1, 2, -1, 0, 100, 34, 41
1, 25, 0, 6, 2, 2, 30, 63, 42, 42
0, 100, 7, 4, 50, 50, 22, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 14, 50, -1, 0, 65, 14, 14
0, 63, 29, 1, 2, -1, 0, 100, 15, 28
1, 25, 0, 6, 2, 2, 20, 63, 29, 29
0, 100, 7, 4, 50, 50, 12, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 4, 50, -1, 0, 65, 14, 14
0, 63, 19, 1, 2, -1, 0, 100, 15, 18
1, 25, 0, 6, 2, 2, 32, 63, 19, 19
0, 100, 7, 4, 50, 50, 24, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 16, 50, -1, 0, 65, 14, 14
0, 63, 31, 1, 2, -1, 0, 100, 15, 30
1, 25, 0, 6, 2, 2, 27, 63, 31, 31
0, 100, 7, 4, 50, 50, 19, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 11, 50, -1, 0, 65, 14, 14
0, 63, 26, 1, 2, -1, 0, 100, 15, 25
1, 25, 0, 6, 2, 2, 34, 63, 26, 26
0, 100, 7, 4, 50, 50, 26, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 18, 50, -1, 0, 65, 14, 14
0, 63, 33, 1, 2, -1, 0, 100, 15, 32
1, 25, 0, 6, 2, 2, 28, 63, 33, 33
0, 100, 7, 4, 50, 50, 20, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 12, 50, -1, 0, 65, 14, 14
0, 63, 27, 1, 2, -1, 0, 100, 15, 26
1, 25, 0, 6, 2, 2, 22, 63, 27, 27
0, 100, 7, 4, 50, 50, 14, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 2, 50, -1, 0, 65, 11, 11
0, 65, 14, 1, 50, -1, 0, 100, 12, 13
0, 100, 15, 6, 50, -1, 0, 65, 14, 14
0, 63, 21, 1, 2, -1, 0, 100, 15, 20
1, 25, 0, 6, 2, 2, 31, 63, 21, 21
0, 100, 7, 4, 50, 50, 23, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 7, 50, -1, 0, 65, 16, 16
0, 65, 24, 1, 50, -1, 0, 100, 17, 23
0, 100, 25, 5, 50, -1, 0, 65, 24, 24
0, 63, 30, 1, 2, -1, 0, 100, 25, 29
1, 25, 0, 6, 2, 2, 27, 63, 30, 30
0, 100, 7, 4, 50, 50, 19, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 9, 50, -1, 0, 65, 16, 16
0, 63, 26, 1, 2, -1, 0, 100, 17, 25
1, 25, 0, 6, 2, 2, 24, 63, 26, 26
0, 100, 7, 4, 50, 50, 16, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 6, 50, -1, 0, 65, 16, 16
0, 63, 23, 1, 2, -1, 0, 100, 17, 22
1, 25, 0, 6, 2, 2, 25, 63, 23, 23
0, 100, 7, 4, 50, 50, 17, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 7, 50, -1, 0, 65, 16, 16
0, 63, 24, 1, 2, -1, 0, 100, 17, 23
1, 25, 0, 6, 2, 2, 22, 63, 24, 24
0, 100, 7, 4, 50, 50, 14, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 4, 50, -1, 0, 65, 16, 16
0, 63, 21, 1, 2, -1, 0, 100, 17, 20
1, 25, 0, 6, 2, 2, 24, 63, 21, 21
0, 100, 7, 4, 50, 50, 16, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 6, 50, -1, 0, 65, 16, 16
0, 63, 23, 1, 2, -1, 0, 100, 17, 22
1, 25, 0, 6, 2, 2, 21, 63, 23, 23
0, 100, 7, 4, 50, 50, 13, 25, 0, 5
0, 65, 11, 1, 50, -1, 0, 100, 7, 10
0, 100, 12, 4, 50, -1, 0, 65, 11, 11
0, 65, 16, 1, 50, -1, 0, 100, 12, 15
0, 100, 17, 3, 50, -1, 0, 65, 16, 16
0, 63, 20, 1, 2, -1, 0, 100, 17, 19
1, 35, 0, 6, 5, 3, 18038, 63, 20, 20
0, 9, 7, 5, 7, 7, 18031, 35, 0, 5
0, 100, 13, 2, 7, -1, 0, 9, 7, 11
0, 59, 16, 1, 17, 17, 18022, 100, 13, 14
1, 35, 1, 6, 5, 19, 45, 59, 16, 16
0, 18, 8, 5, 5, 4, 5, 35, 1, 6
0, 38, 14, 6, 5, 4, 6, 18, 8, 12
0, 100, 21, 6, 39, 20, 25, 38, 14, 19
0, 100, 28, 7, 34, 32, 17, 100, 21, 26
0, 66, 36, 1, 33, -1, 0, 100, 28, 34
0, 55, 38, 7, 51, 35, 7, 66, 36, 36
0, 63, 45, 1, 25, -1, 0, 55, 38, 44
1, 35, 4, 6, 5, 19, 151, 63, 45, 45
0, 16, 11, 4, 11, 20, 144, 35, 4, 9
0, 100, 16, 10, 11, -1, 0, 16, 11, 14
0, 59, 27, 1, 11, -1, 0, 100, 16, 25
1, 100, 2, 8, 13, 12, 97, 59, 27, 27
0, 64, 10, 1, 12, -1, 0, 100, 2, 9
1, 100, 2, 8, 13, 13, 8, 64, 10, 10
0, 64, 10, 1, 12, -1, 0, 100, 2, 9
1, 100, 2, 8, 13, 13, 8, 64, 10, 10
1, 60, 1, 1, 11, -1, 0, 100, 2, 9
1, 35, 1, 6, 5, 19, 364, 60, 1, 1
0, 38, 8, 6, 5, 4, 6, 35, 1, 6
0, 9, 15, 5, 7, 20, 350, 38, 8, 13
0, 100, 21, 10, 7, -1, 0, 9, 15, 19
0, 59, 32, 1, 17, 17, 333, 100, 21, 30
1, 35, 2, 6, 5, 19, 36, 59, 32, 32
0, 100, 9, 17, 39, 20, 29, 35, 2, 7
0, 100, 27, 10, 34, 32, 10, 100, 9, 25
0, 63, 37, 1, 25, -1, 0, 100, 27, 36
1, 35, 2, 6, 5, 19, 101, 63, 37, 37
0, 100, 9, 8, 39, 20, 94, 35, 2, 7
0, 68, 17, 1, 41, 41, 27, 100, 9, 16
0, 100, 18, 6, 39, 42, 6, 68, 17, 17
0, 64, 24, 1, 41, -1, 0, 100, 18, 23
0, 100, 26, 17, 39, 42, 17, 64, 24, 24
0, 67, 43, 1, 41, -1, 0, 100, 26, 42
0, 100, 45, 13, 34, 32, 57, 67, 43, 43
0, 66, 59, 1, 33, -1, 0, 100, 45, 57
0, 31, 61, 3, 87, 35, 41, 66, 59, 59
0, 100, 65, 8, 90, 89, 37, 31, 61, 63
0, 68, 73, 1, 41, 96, 27, 100, 65, 72
0, 100, 74, 6, 39, 42, 6, 68, 73, 73
0, 64, 80, 1, 41, -1, 0, 100, 74, 79
0, 100, 82, 17, 39, 42, 17, 64, 80, 80
0, 67, 99, 1, 41, -1, 0, 100, 82, 98
0, 57, 100, 1, 100, 93, 2, 67, 99, 99
0, 58, 101, 1, 100, -1, 0, 57, 100, 100
0, 63, 102, 1, 25, -1, 0, 58, 101, 101
1, 60, 1, 1, 17, -1, 0, 63, 102, 102
1, 35, 4, 6, 5, 19, 54, 60, 1, 1
0, 38, 11, 6, 5, 4, 6, 35, 4, 9
0, 18, 18, 5, 5, 4, 5, 38, 11, 16
0, 100, 24, 6, 39, 20, 34, 18, 18, 22
0, 100, 31, 12, 34, 32, 26, 100, 24, 29
0, 66, 44, 1, 33, -1, 0, 100, 31, 42
0, 55, 46, 11, 51, 35, 11, 66, 44, 44
0, 63, 57, 1, 25, -1, 0, 55, 46, 56
1, 35, 1, 6, 5, 19, 53, 63, 57, 57
0, 38, 8, 6, 5, 4, 6, 35, 1, 6
0, 18, 15, 5, 5, 4, 5, 38, 8, 13
0, 100, 21, 6, 39, 20, 33, 18, 15, 19
0, 100, 28, 10, 34, 32, 25, 100, 21, 26
0, 66, 39, 1, 33, -1, 0, 100, 28, 37
0, 31, 41, 3, 87, 35, 12, 66, 39, 39
0, 100, 45, 6, 90, 89, 8, 31, 41, 43
0, 57, 51, 1, 100, 93, 2, 100, 45, 50
0, 58, 52, 1, 100, -1, 0, 57, 51, 51
0, 63, 53, 1, 25, -1, 0, 58, 52, 52
1, 35, 1, 6, 5, 19, 52, 63, 53, 53
0, 38, 8, 6, 5, 4, 6, 35, 1, 6
0, 18, 15, 5, 5, 4, 5, 38, 8, 13
0, 100, 21, 6, 39, 20, 32, 18, 15, 19
0, 100, 28, 17, 34, 32, 24, 100, 21, 26
0, 66, 46, 1, 33, -1, 0, 100, 28, 44
0, 55, 48, 4, 51, 35, 4, 66, 46, 46
0, 63, 52, 1, 25, -1, 0, 55, 48, 51
1, 35, 4, 6, 5, 19, 23, 63, 52, 52
0, 100, 11, 10, 39, 20, 16, 35, 4, 9
0, 100, 22, 4, 34, 32, 4, 100, 11, 20
0, 63, 26, 1, 25, -1, 0, 100, 22, 25
1, 34, 1, 9, 5, 19, 26, 63, 26, 26
0, 100, 11, 6, 39, 20, 16, 34, 1, 9
0, 61, 17, 1, 38, -1, 0, 100, 11, 16
0, 62, 18, 1, 38, -1, 0, 61, 17, 17
0, 100, 20, 6, 34, 32, 6, 62, 18, 18
0, 63, 26, 1, 25, -1, 0, 100, 20, 25
1, 35, 4, 6, 5, 19, 44, 63, 26, 26
0, 100, 11, 7, 39, 20, 37, 35, 4, 9
0, 100, 19, 28, 34, 32, 28, 100, 11, 17
0, 63, 47, 1, 25, -1, 0, 100, 19, 46
1, 35, 1, 6, 5, 19, 29, 63, 47, 47
0, 100, 8, 10, 39, 20, 22, 35, 1, 6
0, 100, 19, 10, 34, 32, 10, 100, 8, 17
0, 63, 29, 1, 25, -1, 0, 100, 19, 28
1, 35, 4, 6, 5, 19, 173, 63, 29, 29
0, 38, 11, 6, 5, 4, 6, 35, 4, 9
0, 18, 18, 5, 5, 4, 5, 38, 11, 16
0, 9, 24, 5, 7, 20, 153, 18, 18, 22
0, 100, 30, 13, 7, -1, 0, 9, 24, 28
0, 17, 44, 7, 7, -1, 0, 100, 30, 42
0, 100, 52, 9, 39, 38, 17, 17, 44, 50
0, 68, 61, 1, 41, 41, 8, 100, 52, 60
0, 100, 62, 6, 39, 42, 6, 68, 61, 61
0, 67, 68, 1, 41, -1, 0, 100, 62, 67
0, 59, 70, 1, 17, 17, 107, 67, 68, 68
1, 35, 8, 6, 5, 19, 47, 59, 70, 70
0, 100, 15, 13, 23, 20, 40, 35, 8, 13
0, 57, 28, 1, 44, 44, 10, 100, 15, 27
0, 27, 29, 3, 40, 45, 8, 57, 28, 28
0, 100, 33, 4, 34, 34, 4, 27, 29, 31
0, 58, 37, 1, 44, -1, 0, 100, 33, 36
0, 59, 39, 1, 66, 49, 16, 58, 37, 37
0, 40, 41, 5, 88, 67, 12, 59, 39, 39
0, 57, 46, 1, 87, -1, 0, 40, 41, 45
0, 100, 47, 4, 88, 84, 4, 57, 46, 46
0, 58, 51, 1, 87, -1, 0, 100, 47, 50
0, 63, 52, 1, 70, -1, 0, 58, 51, 51
0, 60, 54, 1, 66, -1, 0, 63, 52, 52
1, 35, 8, 6, 5, 19, 35, 60, 54, 54
0, 100, 15, 13, 23, 20, 28, 35, 8, 13
0, 57, 28, 1, 44, 44, 2, 100, 15, 27
0, 58, 29, 1, 44, -1, 0, 57, 28, 28
0, 59, 31, 1, 66, 49, 12, 58, 29, 29
0, 40, 33, 5, 88, 67, 8, 59, 31, 31
0, 57, 38, 1, 87, -1, 0, 40, 33, 37
0, 58, 39, 1, 87, -1, 0, 57, 38, 38
0, 63, 40, 1, 70, -1, 0, 58, 39, 39
0, 60, 42, 1, 66, -1, 0, 63, 40, 40
1, 60, 4, 1, 17, -1, 0, 60, 42, 42
1, 34, 4, 9, 5, 19, 175, 60, 4, 4
0, 100, 14, 2, 23, 20, 165, 34, 4, 12
0, 57, 16, 1, 44, 44, 2, 100, 14, 15
0, 58, 17, 1, 44, -1, 0, 57, 16, 16
0, 59, 19, 1, 66, 49, 160, 58, 17, 17
1, 22, 2, 2, 70, 67, 153, 59, 19, 19
0, 57, 5, 1, 83, 83, 31, 22, 2, 3
0, 100, 7, 7, 88, 87, 27, 57, 5, 5
0, 65, 14, 1, 87, -1, 0, 100, 7, 13
0, 100, 15, 19, 87, -1, 0, 65, 14, 14
0, 58, 35, 1, 83, -1, 0, 100, 15, 33
0, 59, 37, 1, 66, 70, 118, 58, 35, 35
1, 22, 3, 2, 70, 67, 57, 59, 37, 37
0, 57, 6, 1, 83, 83, 20, 22, 3, 4
0, 100, 8, 10, 88, 87, 16, 57, 6, 6
0, 73, 18, 2, 87, -1, 0, 100, 8, 17
0, 56, 20, 4, 51, 87, 4, 73, 18, 19
0, 58, 25, 1, 83, -1, 0, 56, 20, 23
0, 100, 27, 10, 88, 70, 33, 58, 25, 25
0, 66, 38, 1, 87, -1, 0, 100, 27, 36
0, 31, 40, 3, 87, 87, 19, 66, 38, 38
0, 100, 44, 2, 90, 89, 15, 31, 40, 42
0, 65, 46, 1, 90, -1, 0, 100, 44, 45
0, 100, 47, 10, 90, -1, 0, 65, 46, 46
0, 57, 57, 1, 100, 93, 2, 100, 47, 56
0, 58, 58, 1, 100, -1, 0, 57, 57, 57
0, 63, 59, 1, 70, -1, 0, 58, 58, 58
1, 100, 3, 10, 88, 67, 48, 63, 59, 59
0, 65, 13, 1, 87, -1, 0, 100, 3, 12
0, 100, 14, 10, 87, -1, 0, 65, 13, 13
0, 66, 25, 1, 87, -1, 0, 100, 14, 23
0, 31, 27, 3, 87, 87, 23, 66, 25, 25
0, 100, 31, 17, 90, 89, 19, 31, 27, 29
0, 57, 48, 1, 100, 93, 2, 100, 31, 47
0, 58, 49, 1, 100, -1, 0, 57, 48, 48
0, 63, 50, 1, 70, -1, 0, 58, 49, 49
1, 60, 2, 1, 66, -1, 0, 63, 50, 50
1, 60, 1, 1, 66, -1, 0, 60, 2, 2
1, 35, 4, 6, 5, 19, 80, 60, 1, 1
0, 100, 11, 2, 23, 20, 73, 35, 4, 9
0, 57, 13, 1, 44, 44, 17, 100, 11, 12
0, 100, 14, 6, 39, 45, 15, 57, 13, 13
0, 100, 21, 8, 34, 34, 8, 100, 14, 19
0, 58, 29, 1, 44, -1, 0, 100, 21, 28
0, 59, 31, 1, 66, 49, 53, 58, 29, 29
1, 43, 8, 4, 88, 67, 37, 59, 31, 31
0, 57, 12, 1, 87, -1, 0, 43, 8, 11
0, 100, 13, 7, 88, 84, 30, 57, 12, 12
0, 65, 20, 1, 87, -1, 0, 100, 13, 19
0, 100, 21, 12, 87, -1, 0, 65, 20, 20
0, 64, 33, 1, 84, -1, 0, 100, 21, 32
0, 100, 35, 8, 88, 87, 8, 64, 33, 33
0, 58, 43, 1, 87, -1, 0, 100, 35, 42
0, 63, 44, 1, 70, -1, 0, 58, 43, 43
1, 60, 4, 1, 66, -1, 0, 63, 44, 44
1, 35, 4, 6, 5, 19, 159, 60, 4, 4
0, 100, 11, 2, 23, 20, 152, 35, 4, 9
0, 57, 13, 1, 44, 44, 66, 100, 11, 12
0, 100, 14, 6, 39, 45, 64, 57, 13, 13
0, 100, 21, 8, 34, 34, 8, 100, 14, 19
0, 64, 29, 1, 45, -1, 0, 100, 21, 28
0, 8, 31, 4, 40, 46, 23, 64, 29, 29
0, 100, 36, 18, 34, 34, 18, 8, 31, 34
0, 64, 54, 1, 45, -1, 0, 100, 36, 53
0, 8, 56, 4, 40, 46, 22, 64, 54, 54
0, 100, 61, 17, 34, 34, 17, 8, 56, 59
0, 58, 78, 1, 44, -1, 0, 100, 61, 77
0, 59, 80, 1, 66, 49, 83, 58, 78, 78
1, 43, 8, 4, 88, 67, 67, 59, 80, 80
0, 57, 12, 1, 87, -1, 0, 43, 8, 11
0, 31, 13, 3, 87, 84, 60, 57, 12, 12
0, 100, 17, 7, 90, 89, 46, 31, 13, 15
0, 57, 24, 1, 100, 93, 39, 100, 17, 23
0, 100, 25, 18, 88, 84, 37, 57, 24, 24
0, 64, 43, 1, 84, -1, 0, 100, 25, 42
0, 100, 45, 17, 88, 87, 17, 64, 43, 43
0, 58, 62, 1, 100, -1, 0, 100, 45, 61
0, 64, 63, 1, 84, -1, 0, 58, 62, 62
0, 100, 65, 8, 88, 87, 8, 64, 63, 63
0, 58, 73, 1, 87, -1, 0, 100, 65, 72
0, 63, 74, 1, 70, -1, 0, 58, 73, 73
1, 60, 4, 1, 66, -1, 0, 63, 74, 74
1, 35, 4, 6, 5, 19, 337, 60, 4, 4
0, 100, 11, 2, 23, 20, 330, 35, 4, 9
0, 57, 13, 1, 44, 44, 32, 100, 11, 12
0, 100, 14, 7, 39, 45, 30, 57, 13, 13
0, 100, 22, 5, 34, 34, 5, 100, 14, 20
0, 64, 27, 1, 45, -1, 0, 100, 22, 26
0, 100, 29, 6, 39, 46, 15, 64, 27, 27
0, 100, 36, 8, 34, 34, 8, 100, 29, 34
0, 58, 44, 1, 44, -1, 0, 100, 36, 43
0, 59, 46, 1, 66, 49, 295, 58, 44, 44
1, 43, 2, 4, 88, 67, 7, 59, 46, 46
0, 57, 6, 1, 87, -1, 0, 43, 2, 5
0, 58, 7, 1, 87, -1, 0, 57, 6, 6
0, 63, 8, 1, 70, -1, 0, 58, 7, 7
1, 100, 2, 28, 88, 67, 37, 63, 8, 8
0, 66, 31, 1, 87, -1, 0, 100, 2, 29
0, 100, 33, 5, 88, 87, 5, 66, 31, 31
0, 63, 38, 1, 70, -1, 0, 100, 33, 37
1, 100, 2, 4, 88, 67, 106, 63, 38, 38
0, 66, 7, 1, 87, -1, 0, 100, 2, 5
0, 100, 9, 28, 88, 87, 98, 66, 7, 7
0, 65, 37, 1, 87, -1, 0, 100, 9, 36
0, 100, 38, 7, 87, -1, 0, 65, 37, 37
0, 57, 45, 1, 87, -1, 0, 100, 38, 44
0, 100, 46, 5, 88, 84, 60, 57, 45, 45
0, 65, 51, 1, 87, -1, 0, 100, 46, 50
0, 100, 52, 11, 87, -1, 0, 65, 51, 51
0, 57, 63, 1, 87, -1, 0, 100, 52, 62
0, 58, 64, 1, 87, -1, 0, 57, 63, 63
0, 64, 65, 1, 84, -1, 0, 58, 64, 64
0, 56, 67, 4, 51, 87, 4, 64, 65, 65
0, 64, 71, 1, 84, -1, 0, 56, 67, 70
1, 56, 13, 4, 51, 87, 4, 64, 71, 71
0, 64, 17, 1, 84, -1, 0, 56, 13, 16
0, 100, 19, 8, 88, 87, 8, 64, 17, 17
0, 64, 27, 1, 84, -1, 0, 100, 19, 26
0, 56, 29, 4, 51, 87, 4, 64, 27, 27
